pin1	pin2	pin3	pin4	pin5
1.1271	0.710078	0.315701	1.41158	0.0598171
1.16323	0.733556	0.314901	1.45798	0.11941
1.19925	0.757001	0.313713	1.5043	0.178778
1.23515	0.780411	0.312243	1.55054	0.237919
1.27093	0.803786	0.310576	1.59669	0.296831
1.30659	0.827122	0.308773	1.64275	0.355514
1.34212	0.850419	0.306881	1.68871	0.413966
1.37752	0.873674	0.304931	1.73459	0.472186
1.41279	0.896885	0.302947	1.78036	0.530172
1.44793	0.920052	0.300945	1.82604	0.587924
1.48294	0.943173	0.298939	1.87161	0.64544
1.51781	0.966245	0.296937	1.91708	0.702718
1.55255	0.989267	0.294948	1.96244	0.759759
1.58715	1.01224	0.292977	2.00769	0.816561
1.6216	1.03516	0.29103	2.05282	0.873122
1.65592	1.05802	0.28911	2.09785	0.929443
1.69009	1.08083	0.287222	2.14275	0.985521
1.72412	1.10358	0.285367	2.18753	1.04136
1.758	1.12627	0.283549	2.23219	1.09695
1.79173	1.1489	0.28177	2.27673	1.15229
1.82532	1.17147	0.280032	2.32114	1.2074
1.85875	1.19397	0.278339	2.36542	1.26225
1.89203	1.21642	0.276692	2.40957	1.31686
1.92516	1.2388	0.275093	2.45359	1.37122
1.95814	1.26111	0.273545	2.49748	1.42533
1.99096	1.28336	0.272051	2.54123	1.47919
2.02362	1.30553	0.270613	2.58484	1.5328
2.05613	1.32764	0.269234	2.62831	1.58617
2.08849	1.34968	0.267918	2.67164	1.63928
2.12068	1.37165	0.266667	2.71482	1.69214
2.15272	1.39355	0.265486	2.75786	1.74474
2.1846	1.41538	0.264378	2.80076	1.7971
2.21631	1.43713	0.263348	2.84351	1.8492
2.24787	1.45881	0.2624	2.8861	1.90105
2.27927	1.48041	0.261541	2.92855	1.95264
2.31051	1.50195	0.260775	2.97084	2.00398
2.34159	1.5234	0.26011	3.01299	2.05506
2.3725	1.54479	0.259551	3.05497	2.10589
2.40326	1.56609	0.259106	3.0968	2.15646
2.43385	1.58732	0.258782	3.13848	2.20678
2.46428	1.60848	0.258587	3.17999	2.25684
2.49455	1.62956	0.258529	3.22135	2.30664
2.52466	1.65056	0.258614	3.26255	2.35619
2.5546	1.67149	0.258849	3.30358	2.40548
2.58439	1.69234	0.25924	3.34446	2.45451
2.61401	1.71312	0.259792	3.38517	2.50328
2.64346	1.73382	0.260506	3.42571	2.55179
2.67275	1.75445	0.261384	3.4661	2.60005
2.70188	1.775	0.262426	3.50632	2.64804
2.73085	1.79548	0.26363	3.54637	2.69578
2.75965	1.8159	0.264992	3.58625	2.74326
2.78829	1.83624	0.266508	3.62597	2.79048
2.81676	1.85651	0.268174	3.66552	2.83743
2.84506	1.87672	0.269983	3.7049	2.88413
2.8732	1.89686	0.271931	3.74412	2.93057
2.90118	1.91695	0.274014	3.78316	2.97675
2.92898	1.93697	0.276226	3.82204	3.02266
2.95662	1.95694	0.278566	3.86074	3.06832
2.98409	1.97685	0.281029	3.89927	3.11372
3.01139	1.99672	0.283613	3.93763	3.15885
3.03853	2.01654	0.286317	3.97582	3.20373
3.0655	2.03633	0.289139	4.01384	3.24834
3.09229	2.05608	0.292078	4.05169	3.29269
3.11892	2.0758	0.295135	4.08936	3.33678
3.14538	2.0955	0.298308	4.12686	3.38062
3.17167	2.11519	0.301598	4.16418	3.42419
3.19778	2.13487	0.305005	4.20133	3.4675
3.22373	2.15456	0.308529	4.23831	3.51055
3.24951	2.17426	0.312171	4.27511	3.55334
3.27512	2.19398	0.315931	4.31173	3.59588
3.30056	2.21375	0.319809	4.34818	3.63815
3.32584	2.23356	0.323807	4.38445	3.68017
3.35094	2.25343	0.327924	4.42055	3.72193
3.37587	2.27339	0.332161	4.45646	3.76343
3.40064	2.29344	0.336519	4.4922	3.80468
3.42524	2.31361	0.340996	4.52777	3.84567
3.44968	2.33391	0.345595	4.56315	3.88641
3.47395	2.35437	0.350314	4.59836	3.9269
3.49807	2.37501	0.355155	4.63338	3.96713
3.52204	2.39586	0.360116	4.66823	4.00711
3.54588	2.41695	0.365198	4.7029	4.04684
3.5696	2.4383	0.3704	4.73739	4.08633
3.59323	2.45995	0.375723	4.7717	4.12556
3.61681	2.48194	0.381165	4.80583	4.16455
3.64037	2.50431	0.386727	4.83978	4.2033
3.66397	2.52709	0.392407	4.87355	4.2418
3.68767	2.55033	0.398204	4.90715	4.28006
3.71155	2.57409	0.404119	4.94056	4.31808
3.73571	2.59842	0.41015	4.97379	4.35586
3.76025	2.62337	0.416296	5.00685	4.39341
3.78532	2.649	0.422556	5.03973	4.43071
3.81108	2.67539	0.428928	5.07243	4.46779
3.83773	2.70261	0.435412	5.10495	4.50463
3.8655	2.73074	0.442006	5.13731	4.54125
3.89465	2.75986	0.448708	5.16951	4.57763
3.92553	2.79006	0.455517	5.20155	4.61379
3.95851	2.82145	0.46243	5.23344	4.64972
3.99408	2.85413	0.469447	5.26521	4.68542
4.03279	2.88822	0.476565	5.29687	4.72091
4.07532	2.92384	0.483783	5.32845	4.75617
4.12251	2.96113	0.491098	5.35997	4.79122
4.17535	3.00023	0.498508	5.39147	4.82604
4.23508	3.04129	0.506011	5.423	4.86065
4.30319	3.08448	0.513605	5.4546	4.89505
4.38148	3.12997	0.521288	5.48635	4.92923
4.4721	3.17795	0.529056	5.5183	4.96319
4.57757	3.22862	0.536908	5.55054	4.99695
4.70064	3.28219	0.544842	5.58318	5.03049
4.84413	3.33888	0.552854	5.61631	5.06383
5.01049	3.3989	0.560942	5.65007	5.09695
5.20118	3.46251	0.569104	5.68461	5.12987
5.41604	3.52994	0.577337	5.72008	5.16259
5.65304	3.60143	0.585638	5.75668	5.19509
5.90855	3.67724	0.594004	5.79463	5.22739
6.17819	3.7576	0.602434	5.83418	5.25949
6.45776	3.84274	0.610924	5.8756	5.29138
