NOReflux NOQC,NOReflux QC,Reflux NOQC,Reflux QC
1.39814,1.59848,1.8791,1.99049
1.39799,1.59418,1.878,1.98978
1.39771,1.59033,1.877,1.98853
1.39771,1.58633,1.87379,1.98711
1.39771,1.58209,1.86249,1.98544
1.39771,1.57827,1.85276,1.98167
1.39784,1.55734,1.8372,1.96418
1.39716,1.53831,1.82213,1.94858
1.39584,1.52028,1.80839,1.93387
1.39458,1.5019,1.79569,1.91959
1.39288,1.47686,1.77927,1.90401
1.38527,1.45784,1.76619,1.88756
1.36784,1.43839,1.75323,1.87182
1.35242,1.41833,1.74062,1.85557
1.33741,1.39697,1.72827,1.83993
1.32301,1.37644,1.71602,1.8251
1.30712,1.35519,1.70388,1.81073
1.29142,1.33469,1.69175,1.79662
1.27559,1.31496,1.67955,1.78266
1.25973,1.29506,1.66734,1.76878
1.24192,1.27387,1.65515,1.75506
1.22648,1.25473,1.64299,1.74123
1.21117,1.23565,1.63071,1.72313
1.19581,1.21717,1.61832,1.70909
1.18062,1.19876,1.60583,1.69477
1.16502,1.17999,1.59335,1.68035
1.14933,1.1617,1.58091,1.66583
1.13395,1.14371,1.5684,1.65123
1.11819,1.12525,1.55587,1.63665
1.10238,1.10735,1.54073,1.622
1.0868,1.08947,1.52739,1.60719
1.07078,1.07138,1.51427,1.59238
1.05482,1.05366,1.50147,1.57743
1.03904,1.03624,1.48889,1.56248
1.02296,1.01785,1.47645,1.5584
1.00627,1.00044,1.46428,1.54311
1.00335,0.995577,1.45231,1.52766
0.986112,0.977241,1.44053,1.51177
0.984232,0.958789,1.42905,1.49567
0.965904,0.956833,1.41776,1.48054
0.946034,0.938413,1.40668,1.46444
0.92918,0.918734,1.39587,1.46057
0.91416,0.901484,1.38528,1.44367
0.900222,0.886087,1.3749,1.42661
0.886945,0.872126,1.36478,1.41029
0.873779,0.858537,1.35491,1.39478
0.860603,0.845272,1.34527,1.38004
0.84755,0.831977,1.33589,1.36616
0.834532,0.81896,1.32674,1.35349
0.821788,0.806046,1.31783,1.34105
0.809134,0.793471,1.30916,1.32928
0.795971,0.781105,1.30074,1.31831
0.783952,0.768273,1.29204,1.30806
0.772103,0.75665,1.2827,1.29827
0.760583,0.745076,1.2735,1.28878
0.749232,0.735512,1.2648,1.27945
0.738332,0.724062,1.25678,1.27024
0.730167,0.712512,1.24934,1.26114
0.719198,0.701484,1.2424,1.25219
0.707856,0.690687,1.23586,1.24338
0.696951,0.680527,1.22963,1.23472
0.686129,0.670646,1.22364,1.22623
0.675696,0.661314,1.21784,1.21791
0.665704,0.652192,1.2122,1.20975
0.655942,0.641361,1.20671,1.20758
0.646008,0.632232,1.20135,1.19939
0.635889,0.622916,1.19611,1.20043
0.624148,0.613619,1.19096,1.1876
0.614066,0.604491,1.1859,1.17681
0.604058,0.595635,1.1809,1.16714
0.594307,0.587113,1.17595,1.15873
0.584846,0.578965,1.17063,1.15093
0.575692,0.571225,1.16515,1.14353
0.566834,0.56391,1.15976,1.13652
0.558389,0.557022,1.15485,1.12992
0.550966,0.550693,1.15033,1.1237
0.54423,0.544985,1.14608,1.1178
0.537906,0.53986,1.14199,1.11438
0.531739,0.535154,1.13796,1.10877
0.525484,0.532277,1.13396,1.10302
0.522547,0.530644,1.12995,1.0972
0.517014,0.525279,1.12379,1.09126
0.508868,0.519797,1.11968,1.08527
0.500618,0.514862,1.11149,1.07923
0.492767,0.510193,1.10712,1.07318
0.48538,0.505514,1.10279,1.06708
0.478296,0.500752,1.09841,1.06093
0.471403,0.49589,1.09257,1.05325
0.464685,0.490934,1.08808,1.04662
0.458165,0.485924,1.0835,1.04002
0.451894,0.480932,1.07912,1.03355
0.44592,0.476029,1.07495,1.02716
0.440222,0.471275,1.07091,1.02083
0.434786,0.466701,1.06694,1.01456
0.429634,0.462316,1.06302,1.0077
0.424717,0.458115,1.05912,1.00147
0.419977,0.454089,1.05526,0.995118
0.415384,0.450246,1.05144,0.98897
0.410876,0.44662,1.04767,0.981167
0.406412,0.445187,1.04395,0.975213
0.401945,0.442606,1.04028,0.969188
0.399159,0.440082,1.03666,0.96323
0.394582,0.437628,1.03308,0.95733
0.390664,0.435431,1.02954,0.951446
0.385756,0.433004,1.02603,0.945539
0.380698,0.430695,1.02252,0.939622
0.375762,0.428567,1.01902,0.933708
0.370951,0.426593,1.01552,0.927802
0.366245,0.42478,1.01203,0.921915
0.361835,0.423075,1.00855,0.916057
0.358037,0.421463,1.00508,0.910234
0.354537,0.419928,1.00162,0.904449
0.351107,0.418457,0.998186,0.898703
0.347702,0.417031,0.994766,0.892994
0.344321,0.415638,0.991371,0.887319
0.340991,0.414265,0.988005,0.881673
0.337707,0.412905,0.984651,0.876057
0.334488,0.411552,0.981299,0.870475
0.331358,0.410204,0.97794,0.864929
0.328312,0.407686,0.974571,0.867594
0.325334,0.40627,0.971188,0.859612
0.32241,0.404826,0.966671,0.855383
0.319547,0.403397,0.963029,0.849521
0.316721,0.401972,0.959249,0.843428
0.312849,0.399227,0.955541,0.837535
0.310063,0.396369,0.951867,0.8319
0.306654,0.393546,0.948309,0.826476
0.303873,0.392076,0.94484,0.821269
0.301094,0.390725,0.941428,0.816232
0.298373,0.389639,0.938076,0.811644
0.295688,0.388715,0.934719,0.80698
0.292124,0.387906,0.931375,0.802419
0.289435,0.387147,0.928018,0.798081
0.286561,0.386381,0.924652,0.793945
0.283769,0.385568,0.921277,0.788309
0.280887,0.384681,0.91789,0.782715
0.278023,0.383701,0.914492,0.778419
0.275212,0.382626,0.911082,0.776071
0.272439,0.381461,0.907657,0.771573
0.269879,0.38021,0.904217,0.766966
0.267516,0.378881,0.901492,0.762388
0.265296,0.377477,0.898127,0.75779
0.263175,0.375998,0.894578,0.753127
0.261114,0.374451,0.890998,0.748458
0.259089,0.372856,0.887672,0.743809
0.257077,0.371227,0.886787,0.739062
0.254517,0.369575,0.884175,0.734248
0.252405,0.367906,0.881608,0.729407
0.250205,0.366223,0.878991,0.724564
0.247957,0.364529,0.875576,0.719732
0.245678,0.362833,0.872856,0.714923
0.243362,0.361141,0.869838,0.710148
0.240994,0.359463,0.866827,0.705414
0.238534,0.357812,0.8639,0.700729
0.235962,0.356195,0.860947,0.696105
0.233287,0.354615,0.857989,0.691552
0.230533,0.353071,0.85501,0.688467
0.227733,0.351557,0.851981,0.684041
0.224918,0.350059,0.848877,0.67949
0.222098,0.348563,0.845679,0.675024
0.219285,0.347051,0.842806,0.670593
0.216817,0.345483,0.838983,0.666225
0.214075,0.343917,0.835134,0.661976
0.211272,0.342443,0.831415,0.657882
0.208517,0.341011,0.827727,0.653942
0.20586,0.339612,0.824039,0.650148
0.203299,0.338247,0.820392,0.646484
0.20083,0.336909,0.816762,0.642937
0.198431,0.335594,0.813128,0.642246
0.196079,0.334303,0.809478,0.641568
0.193146,0.333032,0.807541,0.640897
0.190834,0.331772,0.803302,0.640234
0.188533,0.330515,0.798731,0.636891
0.186231,0.329256,0.79417,0.636232
0.183924,0.327991,0.789747,0.634051
0.18161,0.32672,0.785417,0.630837
0.179294,0.326396,0.781193,0.627959
0.176981,0.32614,0.777072,0.627318
0.174679,0.325884,0.773049,0.626682
0.172399,0.32563,0.769113,0.62416
0.170148,0.325376,0.76525,0.622399
0.167422,0.325123,0.761455,0.620939
0.165251,0.324872,0.756937,0.618111
0.163099,0.324622,0.753241,0.615251
0.160987,0.324376,0.74954,0.612432
0.158972,0.324131,0.752732,0.609651
0.157354,0.323888,0.748646,0.606972
0.155989,0.323648,0.744297,0.604396
0.154667,0.32341,0.739217,0.601915
0.153343,0.323175,0.734578,0.599518
0.152006,0.322942,0.730317,0.597209
0.150652,0.322712,0.72638,0.594982
0.149285,0.322485,0.722655,0.59279
0.147914,0.322261,0.719105,0.590597
0.146553,0.322039,0.715695,0.58842
0.145222,0.32182,0.71237,0.586251
0.143938,0.320814,0.70909,0.584075
0.142723,0.320601,0.705825,0.582183
0.141584,0.319334,0.702562,0.580234
0.140518,0.318041,0.699311,0.577871
0.139514,0.317757,0.696081,0.575531
0.138674,0.317545,0.692882,0.573282
0.137546,0.317333,0.689725,0.570498
0.136419,0.317123,0.686614,0.56837
0.13535,0.316917,0.683536,0.565222
0.134342,0.316714,0.680119,0.56296
0.13338,0.315406,0.67544,0.558998
0.132454,0.315261,0.67242,0.556766
0.131544,0.31507,0.669414,0.554546
0.130578,0.314873,0.666529,0.557666
0.129675,0.314663,0.663681,0.555054
0.128849,0.314452,0.66083,0.551957
0.128106,0.313283,0.657978,0.548772
0.127425,0.313086,0.655143,0.545221
0.126763,0.31289,0.652349,0.542043
0.126066,0.312694,0.649612,0.538857
0.125276,0.312502,0.646943,0.535821
0.124359,0.312313,0.644335,0.533326
0.123334,0.312126,0.641784,0.530992
0.122226,0.310869,0.639277,0.528846
0.121054,0.310688,0.636804,0.526878
0.119841,0.310509,0.634357,0.525066
0.118611,0.310325,0.631929,0.523317
0.117385,0.310141,0.635397,0.521578
0.116187,0.309956,0.631345,0.519823
0.115015,0.309772,0.627715,0.518051
0.113877,0.309587,0.624453,0.51628
0.112801,0.309403,0.621459,0.514521
0.11177,0.30922,0.618549,0.51278
0.110776,0.309037,0.61574,0.510718
0.109817,0.308855,0.613022,0.509041
0.108893,0.308673,0.610401,0.507362
0.108008,0.308491,0.611232,0.50576
0.107163,0.308309,0.608271,0.50421
0.106356,0.308127,0.604873,0.502707
0.105586,0.307945,0.6016,0.501216
0.104851,0.307763,0.598482,0.49973
0.104151,0.30758,0.595505,0.498246
0.103481,0.307398,0.592083,0.496772
0.102844,0.307217,0.588899,0.495312
0.102219,0.307036,0.585806,0.493861
0.101634,0.306856,0.582872,0.492416
0.101084,0.306676,0.579484,0.490974
0.10058,0.306497,0.577667,0.489523
0.100113,0.30632,0.573981,0.488058
0.0996823,0.306141,0.570669,0.486576
0.0992752,0.305964,0.567319,0.485077
0.0988821,0.305789,0.564406,0.483562
0.0984884,0.305615,0.561889,0.482028
0.0980742,0.305442,0.559617,0.480486
0.0976282,0.305271,0.557556,0.478934
0.0971491,0.305101,0.555607,0.477375
0.0966373,0.304932,0.561751,0.47654
0.0960979,0.304764,0.558425,0.476145
0.0955446,0.304596,0.555129,0.475753
0.0949856,0.304428,0.552062,0.475365
0.0944253,0.304261,0.549334,0.474978
0.0938653,0.304095,0.546815,0.474594
0.0933059,0.304626,0.544459,0.474212
0.0927484,0.303536,0.542228,0.473831
0.0921987,0.302389,0.540083,0.473451
0.0916622,0.301242,0.537991,0.473074
0.0911453,0.3001,0.535931,0.472696
0.0904244,0.298985,0.533874,0.47232
0.0899865,0.297894,0.531783,0.471945
0.0895565,0.296864,0.529682,0.47157
0.0891629,0.295884,0.527561,0.471196
0.0888032,0.293938,0.525414,0.470822
0.0884769,0.293855,0.523279,0.470347
0.0881818,0.293728,0.520834,0.468876
0.0879168,0.293597,0.518374,0.467343
0.0876581,0.293457,0.515892,0.465817
0.0874238,0.293318,0.513377,0.464309
0.0873008,0.293179,0.510855,0.462817
0.087278,0.293043,0.508342,0.461607
0.0873018,0.292909,0.505822,0.461205
0.087349,0.292778,0.503286,0.460812
0.0874051,0.292649,0.500716,0.46043
0.0874683,0.292521,0.498117,0.460059
0.0875363,0.292396,0.495494,0.459699
0.0876085,0.292272,0.492841,0.45935
0.087674,0.292148,0.49016,0.459009
0.0877206,0.292026,0.487454,0.460029
0.0877425,0.291904,0.484724,0.458487
0.0877392,0.291783,0.481976,0.456775
0.0877104,0.291662,0.479086,0.458936
0.087656,0.29154,0.476081,0.457178
0.087577,0.291419,0.473069,0.455118
0.0874745,0.291296,0.470118,0.453228
0.0873495,0.291173,0.467235,0.451218
0.0872048,0.291049,0.464401,0.464664
0.0871471,0.290925,0.461629,0.459364
0.086968,0.2908,0.458917,0.454931
0.086768,0.290674,0.456247,0.451408
