NOReflux NOQC,NOReflux QC,Reflux NOQC,Reflux QC
1.77114,1.60404,2.59566,2.15093
1.83231,1.65576,2.59904,2.22758
1.90408,1.70719,2.60392,2.29475
1.97043,1.76389,2.60998,2.35432
2.03103,1.83091,2.61696,2.40716
2.08513,1.9001,2.62459,2.45501
2.13305,1.96311,2.63271,2.49769
2.17541,2.02063,2.6412,2.5348
2.21305,2.07297,2.64998,2.56648
2.24698,2.12106,2.65905,2.5931
2.27784,2.16513,2.66841,2.61529
2.30644,2.20527,2.67816,2.63526
2.33167,2.24196,2.68832,2.65421
2.35018,2.27555,2.69897,2.67127
2.36792,2.30657,2.71019,2.68727
2.3855,2.3355,2.72212,2.70285
2.40326,2.36107,2.73486,2.7179
2.42138,2.38625,2.74856,2.73276
2.43994,2.40482,2.76335,2.74809
2.45917,2.42251,2.7794,2.76468
2.47876,2.44015,2.79679,2.78134
2.49859,2.45895,2.81563,2.79764
2.51908,2.47864,2.83584,2.81324
2.54072,2.499,2.85724,2.82707
2.56379,2.52024,2.87952,2.84092
2.58834,2.54258,2.90238,2.85574
2.61456,2.56631,2.92547,2.87102
2.64245,2.59166,2.94848,2.88637
2.67179,2.61872,2.97118,2.90153
2.70302,2.64777,2.99343,2.9164
2.74279,2.67803,3.01533,2.93093
2.78298,2.709,3.0373,2.94509
2.82071,2.7407,3.06025,2.95888
2.856,2.77514,3.08486,2.97232
2.88973,2.81151,3.11119,2.98544
2.92316,2.85851,3.13871,2.99705
2.95693,2.90751,3.16682,3.00831
2.99151,2.95423,3.1951,3.01996
3.02697,2.99769,3.22309,3.03209
3.06251,3.03732,3.25078,3.0451
3.09736,3.07368,3.27429,3.05866
3.13075,3.10755,3.29529,3.07126
3.16241,3.13955,3.31476,3.08232
3.19923,3.17018,3.33308,3.0921
3.23618,3.19966,3.35019,3.10076
3.2725,3.22806,3.3484,3.10846
3.30632,3.25566,3.34334,3.11561
3.33541,3.28329,3.34085,3.12231
3.35727,3.31732,3.3382,3.1276
3.36854,3.35067,3.33587,3.12929
3.36837,3.38055,3.33239,3.12956
3.35933,3.40354,3.32758,3.12912
3.34363,3.41702,3.32098,3.12839
3.32194,3.41982,3.31275,3.12753
3.29399,3.4113,3.30298,3.12673
3.25956,3.39338,3.292,3.12603
3.21899,3.3685,3.28012,3.12548
3.17333,3.33853,3.26773,3.12504
3.12415,3.30435,3.25506,3.12466
3.07337,3.26581,3.24233,3.12425
3.02261,3.22327,3.22955,3.12397
2.97278,3.17693,3.21641,3.1241
2.92393,3.12711,3.20212,3.12485
2.87519,3.0739,3.18612,3.1263
2.8246,3.01744,3.1685,3.12846
2.76466,2.9578,3.14995,3.13128
2.70397,2.89422,3.13113,3.13494
2.64259,2.82874,3.11247,3.13926
2.58159,2.76311,3.09443,3.14403
2.52188,2.6927,3.07697,3.14857
2.46422,2.62464,3.06391,3.15277
2.40894,2.55906,3.05347,3.15726
2.35619,2.49672,3.0446,3.16227
2.30608,2.43709,3.03684,3.16771
2.25929,2.37991,3.03011,3.17336
2.21663,2.32496,3.04188,3.17898
2.17827,2.27178,3.05636,3.18406
2.14614,2.21925,3.06745,3.18848
2.12357,2.16695,3.07767,3.19262
2.11339,2.11575,3.0915,3.19815
2.11551,2.0671,3.10612,3.20424
2.1267,2.02315,3.12035,3.21084
2.14352,1.98677,3.134,3.21791
2.16417,1.95939,3.14716,3.22549
2.18817,1.94162,3.16011,3.23342
2.21542,1.93134,3.17292,3.24163
2.24549,1.92588,3.18577,3.24997
2.27802,1.92318,3.19865,3.25838
2.31227,1.92222,3.21162,3.2668
2.34694,1.92285,3.22468,3.27532
2.38116,1.92555,3.23774,3.28583
2.41406,1.9305,3.25079,3.29528
2.4452,1.93769,3.26377,3.3036
2.47485,1.94746,3.2767,3.31484
2.50435,1.95909,3.28949,3.32561
2.54098,1.9714,3.30212,3.33526
2.57655,1.9858,3.31456,3.34291
2.61152,2.00167,3.32682,3.34938
2.64529,2.01972,3.3388,3.35559
2.67777,2.04558,3.35332,3.36845
2.70869,2.07104,3.37263,3.381
2.73798,2.09491,3.39442,3.39358
2.76547,2.11564,3.41757,3.40613
2.79061,2.13319,3.4426,3.41858
2.81219,2.14753,3.46813,3.43139
2.82959,2.15914,3.49552,3.44495
2.84408,2.16855,3.52334,3.45913
2.85608,2.17644,3.54796,3.47551
2.86305,2.18342,3.56982,3.49463
2.86796,2.18996,3.58539,3.51677
2.87097,2.19628,3.59919,3.53943
2.87395,2.20253,3.61251,3.56107
2.87825,2.20875,3.6261,3.58094
2.88503,2.21505,3.64017,3.59875
2.89483,2.2215,3.65484,3.61456
2.90813,2.22817,3.67023,3.62858
2.92505,2.23519,3.68629,3.6412
2.94439,2.24273,3.70306,3.65267
2.96458,2.25108,3.72057,3.66318
2.98466,2.26052,3.73843,3.6728
3.0035,2.27126,3.75703,3.67942
3.02067,2.28332,3.77636,3.68585
3.0358,2.29645,3.79622,3.69195
3.05239,2.30954,3.8163,3.69359
3.0655,2.32236,3.83628,3.69416
3.07531,2.33572,3.85596,3.69419
3.08225,2.34949,3.87533,3.69402
3.08619,2.36245,3.89442,3.70009
3.08788,2.37233,3.91347,3.70793
3.08801,2.37853,3.92974,3.70648
3.08732,2.38238,3.94114,3.70355
3.08627,2.38501,3.95016,3.69906
3.08451,2.38706,3.9579,3.69343
3.08309,2.38888,3.96383,3.6872
3.08053,2.3905,3.9693,3.68037
3.07549,2.39183,3.97264,3.6729
3.06672,2.3928,3.97498,3.66507
3.05358,2.39345,3.98036,3.65525
3.03801,2.39379,3.98888,3.6428
3.01789,2.39377,3.99868,3.6273
2.9952,2.3933,4.01414,3.61109
2.96943,2.39229,4.02661,3.59557
2.94067,2.39092,4.04006,3.5814
2.90961,2.38942,4.05586,3.56874
2.87765,2.38791,4.07271,3.55762
2.84287,2.38643,4.08962,3.54767
2.80456,2.38491,4.10617,3.53851
2.76318,2.38317,4.12225,3.5299
2.71973,2.38087,4.13747,3.52179
2.67544,2.37765,4.15191,3.51419
2.63134,2.37325,4.16458,3.50708
2.58818,2.36761,4.17521,3.50052
2.5465,2.36063,4.18371,3.49472
2.50286,2.35234,4.19044,3.48982
2.46212,2.34298,4.19581,3.4853
2.42414,2.33253,4.20019,3.48168
2.38855,2.32067,4.20382,3.47912
2.35525,2.30801,4.20689,3.47049
2.32338,2.29548,4.20951,3.45968
2.29218,2.28369,4.21184,3.45135
2.26106,2.27297,4.21394,3.44502
2.22972,2.26346,4.21581,3.44029
2.1987,2.25513,4.21755,3.43682
2.16694,2.24792,4.21978,3.43436
2.13592,2.24178,4.22197,3.43265
2.10673,2.23646,4.22523,3.43148
2.08005,2.23192,4.22594,3.43071
2.05593,2.22812,4.22441,3.43024
2.03374,2.225,4.2206,3.43413
2.01289,2.22251,4.21531,3.43791
1.99317,2.22059,4.20436,3.44143
1.97489,2.21922,4.19678,3.44424
1.9584,2.216,4.18885,3.44671
1.94315,2.21173,4.17911,3.44983
1.92775,2.20677,4.16873,3.45305
1.91396,2.20227,4.15839,3.45638
1.90407,2.19845,4.14831,3.45978
1.89926,2.19531,4.13838,3.46426
1.8969,2.19756,4.12878,3.47077
1.89554,2.19923,4.11967,3.47766
1.89385,2.2009,4.11159,3.48479
1.89112,2.20276,4.1044,3.49118
1.887,2.20435,4.09678,3.49614
1.88171,2.20586,4.09142,3.49984
1.87577,2.2073,4.089,3.50301
1.86961,2.20835,4.08967,3.50526
1.8635,2.20913,4.09289,3.50648
1.85751,2.20923,4.098,3.50671
1.85172,2.20909,4.10419,3.50008
1.8462,2.20873,4.11088,3.48881
1.84101,2.20824,4.11754,3.47609
1.83615,2.20763,4.12384,3.46255
1.83158,2.20687,4.12952,3.44936
1.82736,2.20604,4.13393,3.43637
1.82347,2.20508,4.1376,3.4238
1.82005,2.20414,4.13973,3.4115
1.8173,2.20317,4.14426,3.39953
1.81531,2.20214,4.15056,3.38782
1.81424,2.20104,4.15822,3.37229
1.81417,2.19988,4.16688,3.35725
1.81482,2.19864,4.17621,3.3438
1.81556,2.19734,4.18567,3.32742
1.81591,2.19812,4.19524,3.31039
1.8146,2.19993,4.20609,3.29171
1.81108,2.20225,4.21777,3.27261
1.80655,2.20384,4.22996,3.25356
1.79971,2.2045,4.24267,3.23488
1.7903,2.20422,4.25568,3.21576
1.78179,2.19835,4.26875,3.19521
1.77609,2.19289,4.28153,3.17489
1.77519,2.18732,4.29364,3.15495
1.78085,2.18145,4.30437,3.1363
1.79348,2.17578,4.31565,3.11947
1.81141,2.17012,4.32407,3.10418
1.8326,2.1645,4.32845,3.09023
1.85497,2.15924,4.32833,3.07746
1.87706,2.15424,4.32444,3.06583
1.89795,2.14989,4.31774,3.05522
1.91704,2.1458,4.30938,3.05146
1.93406,2.14194,4.30007,3.05222
1.94895,2.13822,4.29033,3.05458
1.96184,2.13464,4.28044,3.05788
1.97294,2.13126,4.27077,3.06097
1.98251,2.12806,4.26145,3.06392
1.99077,2.12521,4.25255,3.06653
2.00548,2.1223,4.24407,3.06894
2.01951,2.11837,4.23604,3.07113
2.03122,2.11415,4.22847,3.07322
2.04249,2.10974,4.2213,3.07524
2.05304,2.10552,4.21433,3.07729
2.06339,2.10156,4.20731,3.07837
2.07355,2.09793,4.20036,3.08343
2.0835,2.09459,4.19335,3.08976
2.09418,2.09222,4.18506,3.09746
2.10614,2.09174,4.17608,3.1057
2.11793,2.09121,4.16686,3.11411
2.12864,2.09053,4.15751,3.12243
2.1367,2.08933,4.14823,3.1304
2.14028,2.08785,4.13924,3.13793
2.13825,2.0862,4.13077,3.14647
2.12999,2.08458,4.12312,3.15499
2.11573,2.08309,4.11718,3.16295
2.09756,2.08179,4.11247,3.16985
2.07895,2.08066,4.11066,3.17583
2.06271,2.07964,4.11152,3.18116
2.05085,2.07866,4.1137,3.18605
2.04401,2.07762,4.11679,3.19071
2.04178,2.07647,4.12029,3.19516
2.04332,2.07514,4.12376,3.19946
2.04779,2.07358,4.12705,3.20373
2.05448,2.07179,4.13013,3.20769
2.06283,2.06976,4.13311,3.21129
