Steps,User Time,Real Time,Growth Rate,QC position,Average Pressure,Average Sigma,Average Cell Growth,Average Vertex Velocity,Average Auxin Cytoplasm,Std Auxin Cytoplasm,Average Auxin Intercellular,Average PIN Cytoplasm,Average PIN Membrane,Average AUX1 Cytoplasm,Average Auxin Diffusion,Average Auxin Export,Average PIN1 Expression,Average PIN1 Trafficking
1,0.03,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.78611,1.07263,0.27602,1.25523,0.989191,12.6775,0,2.50319,108.092,98.7545
2,0.06,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.79489,1.10441,0.26256,1.25934,0.952129,12.2335,0,-3.77235,108.127,98.0453
3,0.09,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.8067,1.14227,0.241329,1.26384,0.930133,11.9027,0,-3.10571,107.719,97.3508
4,0.12,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.81563,1.1764,0.225608,1.26853,0.918632,11.653,0,-2.00289,107.323,96.9276
5,0.15,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.82172,1.20041,0.215602,1.27195,0.914565,11.4626,0,-1.05312,107.052,97.1107
6,0.18,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.82555,1.21254,0.209523,1.27504,0.913629,11.3159,0,-0.760722,106.818,96.7134
7,0.21,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.82966,1.22215,0.203975,1.27801,0.913557,11.2017,0,-0.677868,106.593,96.526
8,0.24,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.83366,1.22955,0.199542,1.28072,0.914689,11.112,0,-0.453345,106.385,96.4667
9,0.27,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.83714,1.23276,0.195998,1.28277,0.915909,11.0407,0,-0.494706,106.218,96.3351
10,0.3,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.84082,1.2351,0.192495,1.28488,0.916841,10.9835,0,-0.41527,106.009,96.1719
11,0.33,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.84423,1.23599,0.189549,1.28636,0.918075,10.9369,0,-0.300125,105.813,96.1167
12,0.36,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.84743,1.23537,0.186791,1.28773,0.919368,10.8986,0,-0.360922,105.59,95.9628
13,0.39,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.85039,1.23276,0.184308,1.28852,0.919511,10.8666,0,-0.305638,105.466,95.9374
14,0.42,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.85306,1.22947,0.182048,1.28896,0.919692,10.8399,0,-0.192881,105.415,96.0695
15,0.45,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.85535,1.22599,0.179963,1.28941,0.919993,10.8176,0,-0.254179,105.425,95.8848
16,0.48,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.85741,1.22369,0.177943,1.28966,0.921146,10.7987,0,-0.112951,105.379,96.0533
17,0.51,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.85918,1.22226,0.175967,1.29008,0.921828,10.7824,0,-0.170801,105.237,96.1202
18,0.54,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.86045,1.22133,0.174265,1.29001,0.922537,10.7681,0,-0.20244,105.104,95.7483
19,0.57,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.86139,1.22133,0.172629,1.28962,0.923237,10.7556,0,-0.155294,104.977,95.7684
20,0.6,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.86202,1.22243,0.171048,1.28929,0.924245,10.7447,0,-0.0888253,104.841,95.7693
21,0.63,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.86222,1.22396,0.169532,1.28899,0.924387,10.735,0,-0.155683,104.708,95.6201
22,0.66,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.86201,1.22591,0.168084,1.28838,0.924811,10.7267,0,-0.169413,104.612,95.4725
23,0.69,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.86139,1.22773,0.166639,1.28775,0.925649,10.7195,0,-0.138783,104.521,95.4596
24,0.72,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.86045,1.23043,0.165245,1.28736,0.926088,10.7134,0,-0.135731,104.419,95.3221
25,0.75,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.85908,1.23357,0.163945,1.28697,0.927144,10.7086,0,-0.165229,104.33,95.1489
26,0.78,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.85739,1.23681,0.162717,1.28633,0.927938,10.7049,0,-0.10387,104.28,95.1407
27,0.81,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.85538,1.2404,0.161372,1.28616,0.928402,10.7023,0,-0.113946,104.19,95.003
28,0.84,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.85288,1.24372,0.16024,1.28573,0.928226,10.7009,0,-0.107958,104.12,94.9416
29,0.87,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.8503,1.2485,0.159241,1.28513,0.928885,10.7007,0,-0.0550706,104.047,94.9921
30,0.9,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.8474,1.25239,0.157955,1.28465,0.92954,10.7015,0,-0.113464,103.942,95.1092
31,0.93,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.84399,1.25503,0.156763,1.28424,0.929375,10.7036,0,-0.123267,103.827,94.7178
32,0.96,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.84065,1.25977,0.155557,1.28411,0.928839,10.7068,0,-0.0770335,103.68,94.5596
33,0.99,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.83706,1.26487,0.15477,1.28302,0.929474,10.7113,0,-0.0243612,103.6,95.001
34,1.02,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.83313,1.26883,0.153912,1.28225,0.93054,10.717,0,-0.096229,103.499,94.4089
35,1.05,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.82892,1.27158,0.152628,1.28186,0.930226,10.724,0,-0.108346,103.37,94.2588
36,1.08,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.8246,1.27502,0.151651,1.28131,0.930281,10.7322,0,-0.0297937,103.239,94.235
37,1.11,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.82031,1.27973,0.150856,1.28058,0.930057,10.7419,0,-0.0334973,103.115,94.0465
38,1.14,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.81602,1.28499,0.149988,1.2796,0.930137,10.7528,0,-0.112754,103.008,93.9642
39,1.17,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.81121,1.28775,0.149001,1.279,0.93156,10.7652,0,-0.0895636,102.877,93.8274
40,1.2,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.80637,1.29078,0.147892,1.27884,0.93013,10.7789,0,-0.101998,102.728,93.5854
41,1.23,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.80165,1.29543,0.147158,1.27754,0.930562,10.794,0,0.0286262,102.632,93.9888
42,1.26,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.79687,1.30029,0.146621,1.27673,0.931168,10.8105,0,-0.0316539,102.508,93.4806
43,1.29,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.79191,1.30445,0.145697,1.27617,0.930705,10.8284,0,-0.0607006,102.379,93.6578
44,1.32,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.7867,1.30748,0.144748,1.27581,0.930343,10.8476,0,-0.0731802,102.265,93.13
45,1.35,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.78162,1.31198,0.144204,1.27461,0.931278,10.868,0,0.0347642,102.154,93.4051
46,1.38,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.77656,1.31702,0.143669,1.27392,0.931348,10.8898,0,-0.00392833,102.034,93.1023
47,1.41,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.77126,1.32102,0.143049,1.2733,0.931501,10.9128,0,-0.0477352,101.939,92.8591
48,1.44,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.76595,1.32503,0.142253,1.27288,0.932108,10.937,0,0.00906166,101.814,92.7945
49,1.47,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.76042,1.32878,0.141728,1.27231,0.931944,10.9623,0,-0.0237678,101.684,92.8674
50,1.5,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.75509,1.33342,0.141342,1.27129,0.933527,10.9886,0,0.0699684,101.581,92.7138
51,1.53,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.74954,1.33695,0.14084,1.27076,0.932893,11.0158,0,-0.036952,101.444,92.4506
52,1.56,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.74393,1.34091,0.14024,1.27043,0.932882,11.0439,0,0.0126485,101.287,92.4642
53,1.59,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.73832,1.34503,0.13975,1.26954,0.933248,11.0727,0,0.0500922,101.141,92.5992
54,1.62,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.7326,1.3481,0.139384,1.26844,0.934033,11.1021,0,0.0617175,101.027,92.7469
55,1.65,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.72721,1.35214,0.138869,1.26728,0.934196,11.1321,0,-0.000329454,100.892,92.1257
56,1.68,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.72186,1.35611,0.138324,1.26613,0.935078,11.1627,0,-0.0328696,100.763,92.0607
57,1.71,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.71675,1.36002,0.137885,1.26477,0.936061,11.1937,0,0.0613942,100.638,91.8912
58,1.74,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.71178,1.36398,0.13748,1.26363,0.935349,11.225,0,0.0164765,100.522,91.8044
59,1.77,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.7068,1.36809,0.137005,1.26276,0.935429,11.2568,0,0.00878885,100.389,91.565
60,1.8,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.70151,1.37036,0.136671,1.26152,0.936371,11.2888,0,0.0722053,100.286,92.1028
61,1.83,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.69648,1.37309,0.136145,1.26066,0.936733,11.3211,0,0.0154907,100.168,91.5256
62,1.86,0,0.073677,-3.08416 -105.518 0,0,0,0,0,1.69144,1.37536,0.135567,1.25998,0.935855,11.3536,0,-0.0235366,100.053,91.2137
