Replicate,Type,Divisions
0,OE,0
0,OE,1
0,OE,1
0.02,OE,0
0.04,OE,0
0.06,OE,0
0.08,OE,0
0.1,OE,0
0.02,OE,3
0.04,OE,3
0.06,OE,3
0.08,OE,3
0.1,OE,3
0.02,OE,2
0.04,OE,3
0.06,OE,3
0.08,OE,3
0.1,OE,3
0,OE,0
0.02,OE,0
0.04,OE,1
0.06,OE,2
0.08,OE,3
0.1,OE,3
0,OE,0
0.02,OE,0
0.04,OE,0
0.06,OE,1
0.08,OE,1
0.1,OE,1
0,OE,0
0.02,OE,0
0.04,OE,0
0.06,OE,1
0.08,OE,1
0.1,OE,1
0,OE,0
0.02,OE,0
0.04,OE,0
0.06,OE,0
0.08,OE,0
0.1,OE,0
0,OE,0
0.02,OE,0
0.04,OE,0
0.06,OE,0
0.08,OE,0
0.1,OE,0
0,OE,0
0.02,OE,0
0.04,OE,0
0.06,OE,0
0.08,OE,0
0.1,OE,0
0,OE,0
0.02,OE,0
0.04,OE,0
0.06,OE,0
0.08,OE,0
0.1,OE,0
0,OE,0
0.02,OE,0
0.04,OE,0
0.06,OE,0
0.08,OE,0
0.1,OE,0
0,OE,0
0.02,OE,0
0.04,OE,0
0.06,OE,0
0.08,OE,0
0.1,OE,0
0,WT,0
0,WT,0
0.02,WT,0
0.04,WT,0
0.06,WT,0
0.08,WT,0
0,WT,1
0.1,WT,0
0.02,WT,0
0.04,WT,0
0.06,WT,0
0.08,WT,0
0.1,WT,0
0.02,WT,1
0.04,WT,1
0.06,WT,1
0.08,WT,1
0.1,WT,1
0,WT,0
0.02,WT,0
0.04,WT,0
0.06,WT,0
0.08,WT,0
0.1,WT,0
0,WT,0
0.02,WT,0
0.04,WT,0
0.06,WT,0
0.08,WT,0
0.1,WT,0
0,WT,0
0.02,WT,0
0.04,WT,0
0.06,WT,0
0.08,WT,0
0.1,WT,0
0,WT,0
0.02,WT,0
0.04,WT,0
0.06,WT,0
0.08,WT,0
0.1,WT,0
0,WT,0
0.02,WT,0
0.04,WT,0
0.06,WT,0
0.08,WT,0
0.1,WT,0
0,WT,0
0.02,WT,0
0.04,WT,0
0.06,WT,0
0.08,WT,0
0.1,WT,0
0,WT,0
0.02,WT,0
0.04,WT,0
0.06,WT,0
0.08,WT,0
0.1,WT,0
0,WT,0
0.02,WT,0
0.04,WT,0
0.06,WT,0
0.08,WT,0
0.1,WT,0
0,WT,0
0.02,WT,0
0.04,WT,0
0.06,WT,0
0.08,WT,0
0.1,WT,0
0,wox5,3
0,wox5,3
0.02,wox5,3
0.04,wox5,3
0.06,wox5,3
0.08,wox5,3
0,wox5,1
0.1,wox5,3
0.02,wox5,3
0.04,wox5,3
0.06,wox5,2
0.08,wox5,1
0.1,wox5,1
0.02,wox5,1
0.04,wox5,1
0.06,wox5,1
0.08,wox5,2
0.1,wox5,1
0,wox5,3
0.02,wox5,3
0.04,wox5,3
0.06,wox5,3
0.08,wox5,3
0.1,wox5,3
0,wox5,3
0.02,wox5,3
0.04,wox5,3
0.06,wox5,3
0.08,wox5,3
0.1,wox5,3
0,wox5,3
0.02,wox5,3
0.04,wox5,3
0.06,wox5,3
0.08,wox5,3
0.1,wox5,3
0,wox5,3
0.02,wox5,3
0.04,wox5,3
0.06,wox5,3
0.08,wox5,3
0.1,wox5,3
0,wox5,3
0.02,wox5,3
0.04,wox5,3
0.06,wox5,3
0.08,wox5,3
0.1,wox5,3
0,wox5,3
0.02,wox5,3
0.04,wox5,3
0.06,wox5,3
0.08,wox5,3
0.1,wox5,3
0,wox5,3
0.02,wox5,3
0.04,wox5,3
0.06,wox5,3
0.08,wox5,3
0.1,wox5,3
0,wox5,3
0.02,wox5,3
0.04,wox5,3
0.06,wox5,3
0.08,wox5,3
0.1,wox5,3
0,wox5,3
0.02,wox5,3
0.04,wox5,3
0.06,wox5,3
0.08,wox5,3
0.1,wox5,3
